,OverallQual,YearBuilt,OverallCondSqft,Overall,Neighborhood,Functional,OverallQualSqft,SaleCondition,RemodUntilSale,MSSubClass,GrLivArea,GarageArea,TimeToSell,Exterior2nd,ScreenPorch,LotFrontage,log_SalePrice,YearBuilt_polinomico,GrLivArea_logaritmico,GarageArea_polinomico,TimeToSell_cuadratico,RemodUntilSale_raiz_cuadrada,OverallQualSqft_raiz_cuadrada,OverallCondSqft_polinomico,Overall_cuadratico
1,6,2003.0,24120.0,35.0,5,6,33768.0,4,5.0,5.0,1710.0,548.0,5.0,13,0.0,65.0,12.247694320220994,12.40949944103545,12.203854494097417,12.179956502722737,12.40429733618518,12.261045038042889,12.19834915906588,12.062190903177521,12.13740561271561
2,5,1976.0,33968.0,48.0,24,6,25476.0,4,31.0,0.0,1262.0,460.0,31.0,8,0.0,80.0,12.109010932687042,12.002629686811133,11.922502623224656,12.031089794584414,12.019957914591993,11.917818917860643,11.982202774415269,12.40600734013202,12.455587144322562
3,6,2001.0,25500.0,35.0,5,6,35700.0,4,6.0,5.0,1786.0,608.0,7.0,13,0.0,68.0,12.31716669303576,12.37213605303782,12.244131494787407,12.278734870410972,12.368814933111473,12.239058663539138,12.244746835172561,12.118442982857246,12.13740561271561
4,6,1915.0,24160.0,35.0,6,6,33824.0,0,36.0,6.0,1717.0,642.0,91.0,15,0.0,60.0,11.84939770159144,11.787470829568974,12.20763827641521,12.332409857089068,11.76918774739531,11.873290682513757,12.199712422916516,12.063860711327228,12.13740561271561
5,7,2000.0,31885.0,40.0,15,6,51016.0,4,8.0,5.0,2198.0,836.0,8.0,13,0.0,84.0,12.429216196844383,12.353899019021583,12.43640025756913,12.577943896346246,12.35144359608599,12.200021130594704,12.57522967161114,12.344010389502307,12.272293847073069
6,4,1993.0,20000.0,25.0,11,6,20000.0,4,14.0,4.0,1362.0,480.0,16.0,13,0.0,85.0,11.870599909242044,12.234453248312093,11.993119795808564,12.064944964175979,12.221349648155007,12.105941585697117,11.819384451512525,11.877220342782458,11.820713935747172
7,7,2004.0,28550.0,40.0,21,6,45680.0,4,2.0,0.0,1694.0,636.0,3.0,13,0.0,75.0,12.634603026569334,12.42862765613745,12.195147394368242,12.323092217644358,12.440766044622542,12.345711186945477,12.466582963476474,12.233115866198125,12.272293847073069
8,6,1973.0,34626.0,42.0,14,6,40397.0,4,36.0,5.0,2090.0,484.0,36.0,6,0.0,69.0,12.206072645530174,11.9700358989071,12.389728600410972,12.071728398696724,11.96515615378333,11.873290682513757,12.352562884785783,12.424477946613948,12.321870388045724
9,6,1931.0,24840.0,35.0,17,2,34776.0,0,58.0,4.0,1774.0,468.0,77.0,15,0.0,51.0,11.77452020265869,11.757510977659194,12.237887191925696,12.044615976488595,11.748303204633723,11.706836279086621,12.22271756125823,12.091886947419619,12.13740561271561
10,4,1939.0,20100.0,30.0,3,6,16750.0,4,58.0,14.0,1077.0,205.0,69.0,8,0.0,50.0,11.678439903447801,11.76446792500792,11.775720951626164,11.652889196057451,11.758067898198918,11.706836279086621,11.711980561773323,11.882021463446504,11.986878975606977
11,4,1965.0,17520.0,25.0,19,6,17520.0,4,43.0,0.0,1040.0,384.0,43.0,6,0.0,70.0,11.771436160121729,11.894934151251618,11.743353396559957,11.905038127677006,11.898789894969568,11.815864242704079,11.738307514119079,11.753010427624488,11.820713935747172
12,8,2005.0,32795.0,45.0,16,6,59031.0,5,0.0,5.0,2324.0,736.0,1.0,15,0.0,85.0,12.751299696013497,12.448054792722587,12.488036575532057,12.467016032843297,12.478221058423559,12.491401243296252,12.728247653155314,12.37176258116606,12.391543678679353
