,MSSubClass,LotFrontage,LotArea,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,SaleType,SaleCondition,TimeToSell,TimeUntilRemod,RemodUntilSale,TotalPorchArea,HasPorch,OverallQualSqft,OverallCondSqft,Overall,MSZoning_fv,MSZoning_rh,MSZoning_rl,MSZoning_rm,Street_pave,Street_nan,LotShape_ir2,LotShape_ir3,LotShape_reg,LotShape_nan,LandContour_hls,LandContour_low,LandContour_lvl,LandContour_nan,Utilities_nosewa,Utilities_nan,LotConfig_culdsac,LotConfig_fr2,LotConfig_fr3,LotConfig_inside,LotConfig_nan,LandSlope_mod,LandSlope_sev,LandSlope_nan,BldgType_2fmcon,BldgType_duplex,BldgType_twnhs,BldgType_twnhse,BldgType_nan,MasVnrType_brkface,MasVnrType_none,MasVnrType_stone,MasVnrType_nan,ExterQual_fa,ExterQual_gd,ExterQual_ta,ExterQual_nan,ExterCond_fa,ExterCond_gd,ExterCond_po,ExterCond_ta,ExterCond_nan,BsmtQual_fa,BsmtQual_gd,BsmtQual_ta,BsmtQual_nan,BsmtCond_gd,BsmtCond_ta,BsmtCond_nan,BsmtExposure_gd,BsmtExposure_mn,BsmtExposure_no,BsmtExposure_nan,HeatingQC_fa,HeatingQC_gd,HeatingQC_po,HeatingQC_ta,HeatingQC_nan,CentralAir_y,CentralAir_nan,Electrical_fusef,Electrical_sbrkr,Electrical_nan,BsmtFullBath_1.0,BsmtFullBath_2.0,BsmtFullBath_nan,BsmtHalfBath_1.0,BsmtHalfBath_nan,FullBath_1.0,FullBath_2.0,FullBath_3.0,FullBath_nan,HalfBath_1.0,HalfBath_2.0,HalfBath_nan,KitchenAbvGr_1.0,KitchenAbvGr_2.0,KitchenAbvGr_3.0,KitchenAbvGr_nan,KitchenQual_fa,KitchenQual_gd,KitchenQual_ta,KitchenQual_nan,Fireplaces_1.0,Fireplaces_2.0,Fireplaces_3.0,Fireplaces_nan,GarageFinish_rfn,GarageFinish_unf,GarageFinish_nan,GarageCars_1.0,GarageCars_2.0,GarageCars_3.0,GarageCars_4.0,GarageCars_nan,GarageQual_fa,GarageQual_gd,GarageQual_ta,GarageQual_nan,GarageCond_fa,GarageCond_gd,GarageCond_po,GarageCond_ta,GarageCond_nan,PavedDrive_p,PavedDrive_y,PavedDrive_nan,Fence_gdwo,Fence_mnprv,Fence_mnww,Fence_na,Fence_nan,YrSold_2007.0,YrSold_2008.0,YrSold_2009.0,YrSold_2010.0,YrSold_nan,log_SalePrice,YearBuilt_polinomico,YearRemodAdd_cuadratico,MasVnrArea_cuadratico,TotalBsmtSF_polinomico,1stFlrSF_polinomico,GrLivArea_logaritmico,TotRmsAbvGrd_discreto,GarageYrBlt_polinomico,GarageArea_polinomico,TimeToSell_cuadratico,RemodUntilSale_raiz_cuadrada,OverallQualSqft_raiz_cuadrada,OverallCondSqft_polinomico,Overall_cuadratico
1,5.0,65.0,8450.0,5,2,2,5,6,4,2003.0,2003.0,1,1,12,13,196.0,2,2,706.0,5,0.0,150.0,856.0,1,856.0,854.0,0.0,1710.0,3,6,6,3,1,2003.0,548.0,0.0,61.0,0.0,0.0,0.0,0,1,8,4,5.0,0.0,5.0,61.0,True,33768.0,24120.0,35.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12.247694320220994,12.40949944103545,12.293556934657914,12.2344020565835,11.916846222715478,11.84611135427624,12.203854494097417,12.30634061683896,12.35308124101357,12.179956502722737,12.40429733618518,12.261045038042889,12.19834915906588,12.062190903177521,12.13740561271561
2,0.0,80.0,9600.0,24,1,2,2,5,7,1976.0,1976.0,1,1,8,8,0.0,1,0,978.0,5,0.0,284.0,1262.0,1,1262.0,0.0,0.0,1262.0,3,4,6,5,1,1976.0,460.0,298.0,0.0,0.0,0.0,0.0,0,4,8,4,31.0,0.0,31.0,298.0,True,25476.0,33968.0,48.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,12.109010932687042,12.002629686811133,11.934183098219393,11.9536828066391,12.216181868453784,12.139293641444361,11.922502623224656,11.978200513139434,11.951915447614738,12.031089794584414,12.019957914591993,11.917818917860643,11.982202774415269,12.40600734013202,12.455587144322562
3,5.0,68.0,11250.0,5,2,2,5,6,4,2001.0,2002.0,1,1,12,13,162.0,2,2,486.0,5,0.0,434.0,920.0,1,920.0,866.0,0.0,1786.0,3,4,6,5,1,2001.0,608.0,0.0,42.0,0.0,0.0,0.0,0,8,8,4,7.0,1.0,6.0,42.0,True,35700.0,25500.0,35.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.31716669303576,12.37213605303782,12.278971890514782,12.190696844497936,11.96099046023034,11.889389548874844,12.244131494787407,11.978200513139434,12.312469471626173,12.278734870410972,12.368814933111473,12.239058663539138,12.244746835172561,12.118442982857246,12.13740561271561
4,6.0,60.0,9550.0,6,2,2,5,6,4,1915.0,1970.0,1,1,13,15,0.0,0,0,216.0,5,0.0,540.0,756.0,1,961.0,756.0,0.0,1717.0,3,5,6,2,5,1998.0,642.0,0.0,35.0,272.0,0.0,0.0,0,1,8,0,91.0,55.0,36.0,307.0,True,33824.0,24160.0,35.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11.84939770159144,11.787470829568974,11.864031115156763,11.9536828066391,11.851193662833305,11.917872160513664,12.20763827641521,12.206884648581951,12.25507466344061,12.332409857089068,11.76918774739531,11.873290682513757,12.199712422916516,12.063860711327228,12.13740561271561
5,5.0,84.0,14260.0,15,2,2,5,7,4,2000.0,2000.0,1,1,12,13,350.0,2,2,655.0,5,0.0,490.0,1145.0,1,1145.0,1053.0,0.0,2198.0,4,7,6,5,1,2000.0,836.0,192.0,84.0,0.0,0.0,0.0,0,11,8,4,8.0,0.0,8.0,276.0,True,51016.0,31885.0,40.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,12.429216196844383,12.353899019021583,12.250096010394515,12.406126575953715,12.126178206117064,12.051322031710178,12.43640025756913,12.40468454766595,12.29287277630101,12.577943896346246,12.35144359608599,12.200021130594704,12.57522967161114,12.344010389502307,12.272293847073069
6,4.0,85.0,14115.0,11,2,2,0,4,4,1993.0,1995.0,1,1,12,13,0.0,5,2,732.0,5,0.0,64.0,796.0,1,796.0,566.0,0.0,1362.0,1,3,6,3,1,1993.0,480.0,40.0,30.0,0.0,320.0,0.0,0,9,8,4,16.0,2.0,14.0,390.0,True,20000.0,20000.0,25.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,11.870599909242044,12.234453248312093,12.179622524395768,11.9536828066391,11.87693098945175,11.807017463727883,11.993119795808564,11.85450061870365,12.168502892805918,12.064944964175979,12.221349648155007,12.105941585697117,11.819384451512525,11.877220342782458,11.820713935747172
7,0.0,75.0,10084.0,21,2,2,2,7,4,2004.0,2005.0,1,1,12,13,186.0,2,2,1369.0,5,0.0,317.0,1686.0,1,1694.0,0.0,0.0,1694.0,3,5,6,2,1,2004.0,636.0,255.0,57.0,0.0,0.0,0.0,0,7,8,4,3.0,1.0,2.0,312.0,True,45680.0,28550.0,40.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12.634603026569334,12.42862765613745,12.32302123111026,12.22176505452493,12.543786556049499,12.460978562645783,12.195147394368242,12.206884648581951,12.374105555456481,12.323092217644358,12.440766044622542,12.345711186945477,12.466582963476474,12.233115866198125,12.272293847073069
8,5.0,69.0,10382.0,14,4,2,5,6,5,1973.0,1973.0,1,1,6,6,240.0,1,0,859.0,1,32.0,216.0,1107.0,1,1107.0,983.0,0.0,2090.0,3,5,6,5,1,1973.0,484.0,235.0,204.0,228.0,0.0,0.0,0,10,8,4,36.0,0.0,36.0,667.0,True,40397.0,34626.0,42.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,12.206072645530174,11.9700358989071,11.898665794438983,12.287851892007211,12.097412111033293,12.023151753271621,12.389728600410972,12.206884648581951,11.92501340292074,12.071728398696724,11.96515615378333,11.873290682513757,12.352562884785783,12.424477946613948,12.321870388045724
9,4.0,51.0,6120.0,17,0,2,0,6,4,1931.0,1950.0,1,1,3,15,0.0,0,5,0.0,5,0.0,952.0,952.0,1,1022.0,752.0,0.0,1774.0,2,6,2,5,5,1931.0,468.0,90.0,0.0,205.0,0.0,0.0,0,3,8,0,77.0,19.0,58.0,295.0,True,34776.0,24840.0,35.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11.77452020265869,11.757510977659194,11.655689212671405,11.9536828066391,11.983609264316836,11.961200320462538,12.237887191925696,12.30634061683896,11.814709431786468,12.044615976488595,11.748303204633723,11.706836279086621,12.22271756125823,12.091886947419619,12.13740561271561
10,14.0,50.0,7420.0,3,0,0,1,4,5,1939.0,1950.0,1,1,8,8,0.0,0,2,851.0,5,0.0,140.0,991.0,1,1077.0,0.0,0.0,1077.0,2,3,6,5,1,1939.0,205.0,0.0,4.0,0.0,0.0,0.0,0,0,8,4,69.0,11.0,58.0,4.0,True,16750.0,20100.0,30.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11.678439903447801,11.76446792500792,11.655689212671405,11.9536828066391,12.011621677378574,12.001103529349457,11.775720951626164,11.85450061870365,11.805141107599411,11.652889196057451,11.758067898198918,11.706836279086621,11.711980561773323,11.882021463446504,11.986878975606977
